name,call,link,sc,innercall
"Wong, Pak-Heung",1966,barrister/wong-pak-heung,False,False
"Lee, Martin C.M., S.C.",1966,barrister/lee-martin-cm-sc,True,1979
"Fung, Patrick, S.C.",1970,barrister/fung-patrick-sc,True,1995
"Chang, Denis K.L., S.C.",1970,barrister/chang-denis-kl-sc,True,1981
"Leong, Jacqueline P., S.C. (Ms)",1971,barrister/leong-jacqueline-p-sc-ms,True,1990
"Wong, Ronny F.H., S.C.",1973,barrister/wong-ronny-fh-sc,True,1990
"Tam, Maria W.C. (Ms)",1974,barrister/tam-maria-wc-ms,False,False
"Kwok, Kenneth H.W., S.C.",1974,barrister/kwok-kenneth-hw-sc,True,1993
"Chan, Edward K.S., S.C.",1975,barrister/chan-edward-ks-sc,True,1989
"Liao, Andrew, S.C.",1975,barrister/liao-andrew-sc,True,1989
"Hoo, Alan, S.C.",1975,barrister/hoo-alan-sc,True,1990
"Tong, Ronny K.W., S.C.",1975,barrister/tong-ronny-kw-sc,True,1990
"Necholas, John",1975,barrister/necholas-john,False,False
"Bleach, John H.N., S.C.",1975,barrister/bleach-john-hn-sc,True,1995
"Barretto, Ruy, S.C.",1975,barrister/barretto-ruy-sc,True,2001
"Mok, Yeuk-Chi",1975,barrister/mok-yeuk-chi,False,False
"Wong, Ching Y., S.C.",1975,barrister/wong-ching-y-sc,True,1997
"Kotewall, Robert G., S.C.",1976,barrister/kotewall-robert-g-sc,True,1989
"Cheng, Huan, S.C.",1976,barrister/cheng-huan-sc,True,1988
"Neoh, Anthony F., S.C.",1976,barrister/neoh-anthony-f-sc,True,1990
"Yuen, Henry M.",1976,barrister/yuen-henry-m,False,False
"Leung, Raymond Wai Man",1976,barrister/leung-raymond-wai-man,False,False
"Poon, Winston, S.C.",1976,barrister/poon-winston-sc,True,1996
"Pirie, Nicholas F.F.",1976,barrister/pirie-nicholas-ff,False,False
"Ma, Stephen Ming-Tak",1976,barrister/ma-stephen-ming-tak,False,False
"Whitehead, Robert, S.C.",1977,barrister/whitehead-robert-sc,True,2000
"Ozorio, Michael, S.C.",1977,barrister/ozorio-michael-sc,True,1996
"Huggins, Adrian, S.C.",1977,barrister/huggins-adrian-sc,True,1991
"Fung, Daniel R., S.C.",1977,barrister/fung-daniel-r-sc,True,1990
"Moosdeen, Munira (Ms)",1977,barrister/moosdeen-munira-ms,False,False
"Mok, Alice, S.C. (Ms)",1977,barrister/mok-alice-sc-ms,True,1997
"Suen, Kam-Hee",1977,barrister/suen-kam-hee,False,False
"Ho, B.K.",1977,barrister/ho-bk,False,False
"Chan, Warren C.H., S.C.",1978,barrister/chan-warren-ch-sc,True,1994
"Ramanathan, Kumar, S.C.",1978,barrister/ramanathan-kumar-sc,True,2009
"Wong, Po-Wing",1978,barrister/wong-po-wing,False,False
"Li, Gladys, S.C. (Ms)",1978,barrister/li-gladys-sc-ms,True,1990
"Eu, Audrey, S.C. (Ms)",1978,barrister/eu-audrey-sc-ms,True,1993
"Remedios, Corinne D'A (Ms)",1978,barrister/remedios-corinne-da-ms,False,False
"Lai, Thomas Yim-Mo",1978,barrister/lai-thomas-yim-mo,False,False
"Yu, Benjamin, S.C.",1979,barrister/yu-benjamin-sc,True,1995
"Lok, Lawrence, S.C.",1979,barrister/lok-lawrence-sc,True,1994
"Remedios, Leo",1979,barrister/remedios-leo,False,False
"Sujanani, Ramesh K.",1979,barrister/sujanani-ramesh-k,False,False
"Ismail, Anthony",1979,barrister/ismail-anthony,False,False
"Fung, Alfred K.C.",1979,barrister/fung-alfred-kc,False,False
"Lau, Walter",1979,barrister/lau-walter,False,False
"Chan, Siu-Ming",1979,barrister/chan-siu-ming,False,False
"Iu, Thomas P.S.",1979,barrister/iu-thomas-ps,False,False
"Lee, Peter C.T.",1980,barrister/lee-peter-ct,False,False
"Chain, Benjamin",1980,barrister/chain-benjamin,False,False
"Chan, Paul P.L.",1980,barrister/chan-paul-pl,False,False
"Fenton, Jeffrey George",1980,barrister/fenton-jeffrey-george,False,False
"Ho, Kenneth K.M.",1980,barrister/ho-kenneth-km,False,False
"Westbrook, Simon N., S.C.",1981,barrister/westbrook-simon-n-sc,True,2001
"Wu, Roderick K.F.",1981,barrister/wu-roderick-kf,False,False
"Souyave, Adrien Armand",1981,barrister/souyave-adrien-armand,False,False
"Chong, Kai-Man",1981,barrister/chong-kai-man,False,False
"Wong, Alexander",1981,barrister/wong-alexander,False,False
"Tang, Ronald Hon-Bui",1981,barrister/tang-ronald-hon-bui,False,False
"Wai, Terence",1981,barrister/wai-terence,False,False
"Chan, Kevin",1981,barrister/chan-kevin,False,False
"Aiken, Nigel, S.C.",1981,barrister/aiken-nigel-sc,True,1994
"Whitehouse, Frederic C.",1981,barrister/whitehouse-frederic-c,False,False
"Lui, Kit Ling",1982,barrister/lui-kit-ling,False,False
"Chan, Johannes M.M., S.C. (Hon.)",1982,barrister/chan-johannes-mm-sc-hon,True,2003
"Lim, Patrick D.",1982,barrister/lim-patrick-d,False,False
"Clayton, Peter D., S.C.",1982,barrister/clayton-peter-d-sc,True,2005
"Wong, Hay-Yiu",1982,barrister/wong-hay-yiu,False,False
"Hingorani, Jeevan",1982,barrister/hingorani-jeevan,False,False
"Hemmings, John",1982,barrister/hemmings-john,False,False
"Pinto, Josephine (Ms)",1982,barrister/pinto-josephine-ms,False,False
"Smith, Clifford, S.C.",1982,barrister/smith-clifford-sc,True,2001
"Merry, Malcolm",1982,barrister/merry-malcolm,False,False
"Chu, Tak",1983,barrister/chu-tak,False,False
"Sussex, Charles, S.C.",1983,barrister/sussex-charles-sc,True,2000
"Wong, Richard T.W.",1983,barrister/wong-richard-tw,False,False
"Law, Dennis",1983,barrister/law-dennis,False,False
"Wong, Priscilla (Ms)",1983,barrister/wong-priscilla-ms,False,False
"Chan, Kenneth G.M.",1983,barrister/chan-kenneth-gm,False,False
"Yau, Albert K.C.",1983,barrister/yau-albert-kc,False,False
"Pedruco, Luiz A. da Silva",1983,barrister/pedruco-luiz-da-silva,False,False
"Leong, Alan K.K., S.C.",1983,barrister/leong-alan-kk-sc,True,1998
"Yu, Denis G.Q.C.",1983,barrister/yu-denis-gqc,False,False
"Plowman, Gary J., S.C.",1984,barrister/plowman-gary-j-sc,True,1993
"Barlow, Barrie, S.C.",1984,barrister/barlow-barrie-sc,True,2007
"Pennicott, Ian, S.C.",1984,barrister/pennicott-ian-sc,True,2014
"Wong, Horace Y.L., S.C.",1984,barrister/wong-horace-yl-sc,True,2004
"Kat, Nigel, S.C.",1984,barrister/kat-nigel-sc,True,2015
"Yan, John M.Y., S.C.",1984,barrister/yan-john-my-sc,True,2003
"Ho, Ambrose, S.C.",1984,barrister/ho-ambrose-sc,True,2000
"Chan, Chi Hung, S.C.",1984,barrister/chan-chi-hung-sc,True,2005
"Tam, Winnie, S.C. (Ms)",1984,barrister/tam-winnie-sc-ms,True,2006
"Tse, Joseph W.Y., S.C.",1984,barrister/tse-joseph-wy-sc,True,2006
"Kwok, Tim",1984,barrister/kwok-tim,False,False
"Wong, Philip",1984,barrister/wong-philip,False,False
"Cheung, Patrick W.S.",1984,barrister/cheung-patrick-ws,False,False
"Tse, Hon-Yuen",1984,barrister/tse-hon-yuen,False,False
"Lau, Eric Y.N.",1984,barrister/lau-eric-yn,False,False
"Yuen, Kenneth K.L.",1985,barrister/yuen-kenneth-kl,False,False
"Marray, John",1985,barrister/marray-john,False,False
"Liao, Martin C.K.",1985,barrister/liao-martin-ck,False,False
"Lam, Cissy K.S. (Ms)",1985,barrister/lam-cissy-ks-ms,False,False
"Laskey, Edward F. Le B.",1985,barrister/laskey-edward-f-le-b,False,False
"Dykes, Philip John, S.C.",1985,barrister/dykes-philip-john-sc,True,1997
"Remedios, Lisa D'Almada (Ms)",1985,barrister/remedios-lisa-dalmada-ms,False,False
"Shum, Erik Sze-Man",1985,barrister/shum-erik-sze-man,False,False
"Cheung, Kam Fai Peter",1985,barrister/cheung-kam-fai-peter,False,False
"Wong, Chi-Kwong",1985,barrister/wong-chi-kwong,False,False
"Elkinson, Jeffrey P.",1985,barrister/elkinson-jeffrey-p,False,False
"Sarony, Neville Leslie, S.C.",1985,barrister/sarony-neville-leslie-sc,True,1992
"Wong, Man-Kit, S.C.",1985,barrister/wong-man-kit-sc,True,2001
"Luk, Arthur, S.C.",1985,barrister/luk-arthur-sc,True,2002
"Wright, John",1985,barrister/wright-john,False,False
"Polson, Ian H.",1985,barrister/polson-ian-h,False,False
"Panesar, Mahinder M. (Ms)",1985,barrister/panesar-mahinder-m-ms,False,False
"Chiu, Simon Chun-Wan",1985,barrister/chiu-simon-chun-wan,False,False
"Kwok, Eric T.M., S.C.",1985,barrister/kwok-eric-tm-sc,True,2004
"Harris, Graham A., S.C.",1985,barrister/harris-graham-sc,True,2011
"Ma, Jimmy Y.T.",1985,barrister/ma-jimmy-yt,False,False
"Shaw, Jonathan L.M.",1986,barrister/shaw-jonathan-lm,False,False
"Sham, Chung Ping Alain",1986,barrister/sham-chung-ping-alain,False,False
"Allan, William G.",1986,barrister/allan-william-g,False,False
"Leung, Paul C.L.",1986,barrister/leung-paul-cl,False,False
"Percy, Duncan C.H.",1986,barrister/percy-duncan-ch,False,False
