d_bar,winner,win,d_call,d_inner,exp
wilson leung,defendant,1,2008,,10
in person,defendant,1,2018,,0
justin ho,defendant,1,2013,,5
wong yan lung,defendant,1,1987,,31
simon yip,plaintiff,0,1993,,25
colin wright,defendant,1,1999,,19
in person,defendant,1,2018,,0
bernard man,defendant,1,2000,,18
chan pat lun,plaintiff,0,1994,,24
bernard man,defendant,1,2000,,18
jenkin suen,plaintiff,0,2004,,14
paul carolan,plaintiff,0,1997,,21
"ambrose ho, sc",plaintiff,0,1984,2000,34
leon ho,defendant,1,2013,,5
cheng huan sc,plaintiff,0,1976,1988,42
nicholas pirie,defendant,1,1976,,42
jin pao,plaintiff,0,2002,,16
charles sussex sc,plaintiff,0,1983,2000,35
in person,defendant,1,2018,,0
lincoln cheung,defendant,1,2010,,8
s. chan,plaintiff,0,1970,,48
martin kok,plaintiff,0,2014,,4
in person,defendant,1,2018,,0
johnny mok,defendant,1,1986,,32
michael lok,plaintiff,0,2014,,4
george chu,defendant,1,1994,,24
jeremy kwong,plaintiff,0,2011,,7
jonathan chang,defendant,1,2001,,17
in person,plaintiff,0,2018,,0
eugene kwok,plaintiff,0,2008,,10
grace chow,plaintiff,0,2000,,18
in person,defendant,1,2018,,0
hanif mughal,plaintiff,0,1986,,32
douglas kwok,defendant,1,1998,,20
in person,plaintiff,0,2018,,0
benjamin lam,plaintiff,0,2015,,3
charles manzoni sc,defendant,1,2000,2012,18
leon ho,defendant,1,2013,,5
michael liu,defendant,1,1989,,29
michael liu,defendant,1,1989,,29
michael liu,defendant,1,1989,,29
michael liu,defendant,1,1989,,29
douglas kwok,defendant,1,1998,,20
paul h m leung,plaintiff,0,1993,,25
wayne walsh sc,defendant,1,2006,2015,12
astina au,defendant,1,2016,,2
diane m. crebbin,defendant,1,2009,,9
freddy woon,defendant,1,1987,,31
paul wu,plaintiff,0,1986,,32
james niehorster,defendant,1,2001,,17
david chen,plaintiff,0,2011,,7
david chen,plaintiff,0,2011,,7
david chen,plaintiff,0,2011,,7
david chen,plaintiff,0,2011,,7
david chen,plaintiff,0,2011,,7
david chen,plaintiff,0,2011,,7
david chen,plaintiff,0,2011,,7
richard turnbull,defendant,1,2004,,14
douglas kwok,defendant,1,1998,,20
clark wang,plaintiff,0,2007,,11
anthony chan,defendant,1,2005,,13
douglas kwok,defendant,1,1998,,20
douglas kwok,defendant,1,1998,,20
douglas kwok,defendant,1,1998,,20
maurice chan,defendant,1,1991,,27
maurice chan,defendant,1,1991,,27
peter yu,defendant,1,2009,,9
in person,plaintiff,0,2018,,0
in person,defendant,1,2018,,0
leona chan,plaintiff,0,2010,,8
edward m h chan,plaintiff,0,1987,,31
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
in person,defendant,1,2018,,0
susanna leong,plaintiff,0,1990,,28
in person,defendant,1,2018,,0
benjamin yu sc,defendant,1,1979,1995,39
in person,defendant,1,2018,,0
richard khaw sc,plaintiff,0,1993,2016,25
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
patrick lim,plaintiff,0,1982,,36
ambrose ho sc,defendant,1,1984,2000,34
anthony chan,defendant,1,2005,,13
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
forest fong,plaintiff,0,2013,,5
christopher grounds,defendant,1,1986,,32
gladys li,defendant,1,1978,,40
andrew raffell,defendant,1,1987,,31
bernard mak,defendant,1,1993,,25
bernard mak,defendant,1,1993,,25
bernard mak,defendant,1,1993,,25
bernard mak,defendant,1,1993,,25
richard yip,plaintiff,0,2011,,7
toby brown,defendant,1,2013,,5
richard leung,defendant,1,1994,,24
kenneth lam,defendant,1,2004,,14
adrian huggins sc,defendant,1,1977,1991,41
billy ma,plaintiff,0,2009,,9
billy ma,plaintiff,0,2009,,9
"bernard man, sc",defendant,1,2000,2015,18
connie lee,defendant,1,2009,,9
in person,plaintiff,0,2018,,0
simon wong,defendant,1,2007,,11
leung chun keung,defendant,1,1991,,27
roxanne ismail,defendant,1,2001,,17
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
nicholas cooney sc,plaintiff,0,2000,2009,18
patrick siu,defendant,1,2011,,7
jeffrey tam,defendant,1,2009,,9
richard d donald,defendant,1,1994,,24
val chow,plaintiff,0,2013,,5
wilson leung,defendant,1,2008,,10
francis cheng,defendant,1,1995,,23
kennis tai,plaintiff,0,1999,,19
margaret chan,defendant,1,2005,,13
victor dawes,defendant,1,1999,,19
"paul lam, sc",plaintiff,0,1992,2013,26
albert cheung,plaintiff,0,2007,,11
edward chan,defendant,1,1975,,43
andrew raffell,defendant,1,1987,,31
richard d donald,defendant,1,1994,,24
nicholas cooney sc,defendant,1,2000,2009,18
"john reading, sc",defendant,1,2002,1999,16
vincent chen,plaintiff,0,2008,,10
susanna leong,defendant,1,1990,,28
edward alder,defendant,1,2006,,12
anthony chan,defendant,1,2005,,13
alexander wong,defendant,1,1981,,37
in person,plaintiff,0,2018,,0
robert chan,defendant,1,2004,,14
david boyton,defendant,1,1997,,21
wong ka lam king,plaintiff,0,1989,,29
david ma,defendant,1,1988,,30
ambrose ho sc,defendant,1,1984,2000,34
hew yang wahn,plaintiff,0,2005,,13
martin ho,defendant,1,2014,,4
martin ho,defendant,1,2014,,4
charles manzoni sc,defendant,1,2000,2012,18
keith tam,plaintiff,0,2016,,2
albert cheung,defendant,1,2007,,11
k c chan,plaintiff,0,1970,,48
k c chan,plaintiff,0,1970,,48
albert cheung,defendant,1,2007,,11
simon lam,defendant,1,1989,,29
janet ho,defendant,1,2009,,9
"benjamin yu, sc",defendant,1,1979,1995,39
jin pao,defendant,1,2002,,16
t c. w.ong,defendant,1,1974,,44
charles sussex sc,defendant,1,1983,2000,35
c yau,defendant,1,1983,,35
kam cheung,defendant,1,1985,,33
clement au,defendant,1,2011,,7
daniel chan,plaintiff,0,1994,,24
in person,plaintiff,0,2018,,0
in person,defendant,1,2018,,0
in person,plaintiff,0,2018,,0
ian polson,defendant,1,1985,,33
sharon yuen,defendant,1,2017,,1
mike lui,plaintiff,0,2006,,12
jonathan kwan,defendant,1,2003,,15
kevin chan,defendant,1,1981,,37
leung sze lum,defendant,1,2016,,2
laurence li,defendant,1,2006,,12
queenie lau,defendant,1,2008,,10
chua guan hock,defendant,1,1987,,31
trevor beel,defendant,1,1997,,21
leonard chow,plaintiff,0,2014,,4
kenneth shum,defendant,1,1996,,22
thomas lai,defendant,1,1978,,40
daniel chan,defendant,1,1994,,24
in person,defendant,1,2018,,0
billy li,defendant,1,2016,,2
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
in person,defendant,1,2018,,0
jonathan t. y. chang,plaintiff,0,1995,,23
