p_bar,winner,win,p_call,p_inner,exp
winnie chan,defendant,0,1992,,26
wong chun hin derek,defendant,0,2011,,7
connie lee,defendant,0,2009,,9
barrie barlow sc,plaintiff,1,1984,2007,34
john yan,defendant,0,1984,,34
toby brown,defendant,0,2013,,5
crystal lai,defendant,0,2014,,4
richard leung,defendant,0,1994,,24
foster yim,plaintiff,1,2011,,7
richard leung,defendant,0,1994,,24
tony ko,plaintiff,1,2006,,12
"benjamin yu, sc",plaintiff,1,1979,1995,39
val chow,defendant,0,2013,,5
hectar pun,plaintiff,1,1995,,23
michael liu,defendant,0,1989,,29
michael liu,defendant,0,1989,,29
justin ho,plaintiff,1,2013,,5
eva sit,defendant,0,2002,,16
eva sit,defendant,0,2002,,16
winnie chan,plaintiff,1,1992,,26
bernard man sc,plaintiff,1,2000,2015,18
douglas kwok,defendant,0,1998,,20
justin lam,defendant,0,2013,,5
"hectar pun, sc",defendant,0,1995,2015,23
keith lam,defendant,0,2009,,9
francis ngan,plaintiff,1,2007,,11
philip dykes,defendant,0,1985,,33
"j wong, of s k lam",plaintiff,1,1998,,20
queenie lau,plaintiff,1,2008,,10
"lam hiu man, human",plaintiff,1,2018,,0
randy shek,defendant,0,2008,,10
j chan,plaintiff,1,1982,,36
bruce lau,plaintiff,1,2007,,11
adrian lai,defendant,0,2007,,11
sebastian hughes,defendant,0,2010,,8
jeremy cheung,defendant,0,1987,,31
jeremy cheung,defendant,0,1987,,31
jeremy cheung,defendant,0,1987,,31
jeremy cheung,defendant,0,1987,,31
randy shek,defendant,0,2008,,10
jonathan chang,plaintiff,1,2001,,17
phillip ross,defendant,0,1994,,24
robert g m chan,defendant,0,1976,,42
steve chui,defendant,0,1992,,26
eugene yim,plaintiff,1,2001,,17
solomon lam,defendant,0,2012,,6
"lam wing sai, vinci",plaintiff,1,1992,,26
robert chan,plaintiff,1,2004,,14
jeremy bartlett sc,plaintiff,1,1999,2015,19
lee yee hung,plaintiff,1,1998,,20
lee yee hung,plaintiff,1,1998,,20
lee yee hung,plaintiff,1,1998,,20
lee yee hung,plaintiff,1,1998,,20
lee yee hung,plaintiff,1,1998,,20
lee yee hung,plaintiff,1,1998,,20
randy shek,defendant,0,2008,,10
sara tong,plaintiff,1,2003,,15
randy shek,defendant,0,2008,,10
victor lui,plaintiff,1,2012,,6
victor lui,plaintiff,1,2012,,6
victor lui,plaintiff,1,2012,,6
victor lui,plaintiff,1,2012,,6
victor lui,plaintiff,1,2012,,6
victor lui,plaintiff,1,2012,,6
randy shek,defendant,0,2008,,10
randy shek,defendant,0,2008,,10
wilfred tsui,defendant,0,1997,,21
wilfred tsui,defendant,0,1997,,21
sunny chan,plaintiff,1,2013,,5
sunny chan,plaintiff,1,2013,,5
billy poon,plaintiff,1,2011,,7
raymond w n tsui,defendant,0,1976,,42
"ma ka na, clara",plaintiff,1,1981,,37
"ma ka na, clara",defendant,0,1981,,37
hylas chung,plaintiff,1,1995,,23
queenie lau,defendant,0,2008,,10
mike lui,plaintiff,1,2006,,12
william siu,defendant,0,2015,,3
william siu,defendant,0,2015,,3
william siu,defendant,0,2015,,3
ernest ng,plaintiff,1,2010,,8
kenneth chung,defendant,0,2002,,16
barrie barlow sc,defendant,0,1984,2007,34
barrie barlow sc,plaintiff,1,1984,2007,34
forest fong,defendant,0,2013,,5
bernard man sc,defendant,0,2000,2015,18
bernard man sc,defendant,0,2000,2015,18
victor joffe,defendant,0,2011,,7
victor joffe,defendant,0,2011,,7
victor joffe,defendant,0,2011,,7
lorinda lau,plaintiff,1,1997,,21
wong yan lung,defendant,0,1987,,31
william siu spp,defendant,0,2015,,3
albert yau,defendant,0,1983,,35
albert yau,defendant,0,1983,,35
albert yau,defendant,0,1983,,35
albert yau,defendant,0,1983,,35
sunny chan,plaintiff,1,2013,,5
alan kwong,defendant,0,2008,,10
li chau yuen,defendant,0,1987,,31
warren chan sc,plaintiff,1,1978,1994,40
toby brown,plaintiff,1,2013,,5
alan kwong,defendant,0,2008,,10
tony ko,defendant,0,2006,,12
roland lau,plaintiff,1,1997,,21
roland lau,plaintiff,1,1997,,21
"philip dykes, sc",defendant,0,1985,1997,33
sanjay a sakhrani,defendant,0,1995,,23
jeevan hingorani,defendant,0,1982,,36
michael lok,defendant,0,2014,,4
isaac c k chan,defendant,0,2007,,11
douglas clark,plaintiff,1,2011,,7
michael yin,defendant,0,1997,,21
jonathan chang,defendant,0,2001,,17
charles manzoni sc,defendant,0,2000,2012,18
tony chow,defendant,0,2011,,7
jeffrey tam,defendant,0,2009,,9
corinne remedios,plaintiff,1,1978,,40
wong man kit sc,plaintiff,1,1985,2001,33
audrey eu,defendant,0,1978,,40
